"LONGITUDE","LATITUDE","IDLongKNN","IDLatiKNN","IDLongRanger","IDLatiRanger","IDLongGbm","IDLatiGbm"
-7641.49930336811,4864922.39917781,-7646.34846057743,4864921.5071206,-7642.53847455957,4864919.07020856,-7635.31592352758,4864921.22281969
-7586.94481643335,4864985.8591874,-7592.24738000035,4864983.87784,-7599.67875328418,4864976.51899383,-7607.3472555657,4864970.07942936
-7674.78528285577,4864934.17609074,-7677.25159999952,4864933.51642,-7675.47411028616,4864934.12292419,-7674.25316995871,4864935.89720359
-7656.47556055148,4864938.29791957,-7653.09658000022,4864935.93448,-7649.69607453257,4864932.284311,-7643.67907004743,4864930.66965182
-7642.76498553336,4865005.02531462,-7640.95133999959,4865010.51486,-7640.68361093494,4865008.38061202,-7641.90775537464,4865008.53521811
-7680.01548397771,4864931.06532918,-7679.43309999853,4864932.0008,-7679.60072203565,4864932.53384166,-7677.89745144704,4864928.55779445
-7644.88606818517,4864948.47653335,-7644.65200000108,4864948.69716,-7641.93825128593,4864949.73381332,-7633.57951877479,4864945.69192165
-7639.40049465441,4864912.97794822,-7639.95524000004,4864911.98194,-7641.50804703319,4864914.41560253,-7640.93262669825,4864919.54416005
-7632.77760000154,4864964.7989,-7633.72949999943,4864965.3173,-7627.28195318622,4864966.13018778,-7631.43770355958,4864968.39954571
-7607.07660000026,4864977.6918,-7591.23764000013,4864984.16718,-7594.7946470837,4864982.48389183,-7606.12891416415,4864982.41996986
-7592.95318465368,4864984.23600766,-7589.74785999953,4864984.9381,-7589.79586055992,4864985.50957235,-7597.39771397617,4864983.02980842
-7588.9413926973,4864985.59057594,-7588.96381999999,4864985.16286,-7592.73439917467,4864984.83173901,-7603.44272545242,4864984.99864205
-7611.19622966315,4864981.68552096,-7605.10358000025,4864980.37442,-7604.84722141663,4864981.279509,-7613.23496074806,4864983.67734646
-7615.52771818275,4864981.65892278,-7602.21613999978,4864982.41526,-7608.16431433662,4864981.94338405,-7624.90590980034,4864979.12970919
