"LONGITUDE","LATITUDE","IDLongKNN","IDLatiKNN","IDLongRanger","IDLatiRanger","IDLongGbm","IDLatiGbm"
-7515.91679939986,4864889.66291668,-7491.82322634271,4864891.19391912,-7491.02921719404,4864891.43077509,-7490.90390488537,4864882.85704898
-7559.67807371738,4864887.49139782,-7552.88961999968,4864888.299308,-7563.0203547944,4864935.28076184,-7729.10092965657,4864990.63139316
-7558.85901383928,4864871.12401172,-7563.98278695572,4864874.05108696,-7563.0203547944,4864944.05918903,-7695.59864973828,4864943.14277596
-7568.98589047076,4864876.02580672,-7566.4103636276,4864869.12158971,-7571.93856167484,4864877.62919569,-7764.19291649914,4864875.66981336
-7562.71709999815,4864865.9577,-7566.61462816868,4864869.12599632,-7571.93856167484,4864878.09401353,-7716.28391033892,4864875.66981336
-7539.96081683799,4864919.93086509,-7534.21977876143,4864922.1787944,-7532.90144811463,4864941.09768305,-7597.7668743195,4865018.09734328
-7525.3140982864,4864932.94688123,-7528.26324693832,4864940.11114617,-7526.99609795512,4864941.93223305,-7586.11538074774,4865005.31295994
-7533.08632737537,4864937.62961685,-7528.26324693832,4864940.11114617,-7526.83527742142,4864942.03567393,-7554.96463192645,4864972.66124224
-7521.6087665247,4864950.6014406,-7528.26324693832,4864940.11114617,-7526.97617367209,4864943.07172961,-7602.4368381132,4865020.5872469
-7424.8123444654,4864862.99215681,-7430.15111841137,4864867.38608155,-7429.45826748464,4864867.77451629,-7373.15918826896,4864871.83320057
-7457.36065030405,4864831.44490372,-7456.12943999916,4864830.29948,-7457.77394256296,4864815.83305785,-7462.2532276393,4864756.86895228
-7460.45255320895,4864816.03854128,-7465.74315454506,4864812.77226364,-7458.47614945623,4864815.63080465,-7466.49957734683,4864740.97190088
-7460.03721595253,4864814.48869958,-7465.74315454506,4864812.77226364,-7458.47614945623,4864815.63080465,-7466.49957734683,4864740.97190088
-7468.44811214908,4864818.48617839,-7465.74315454506,4864812.77226364,-7457.46714746935,4864814.07696159,-7466.49957734683,4864740.97190088
-7423.09684427766,4864877.84670097,-7430.18896666666,4864879.73871667,-7423.80407346643,4864877.08392024,-7350.80264501581,4864880.01451082
-7423.17619999871,4864896.14090001,-7431.61458000019,4864880.14924,-7430.37447959717,4864877.09791859,-7400.99393257722,4864880.01451082
-7538.84126157758,4864919.72199727,-7535.13403818641,4864915.59784806,-7530.90322292275,4864934.53326288,-7579.89310813551,4865000.45542125
-7538.91807875312,4864919.89244437,-7535.13403818641,4864915.59784806,-7530.90322292275,4864934.53326288,-7579.89310813551,4865000.45542125
-7530.75650047033,4864921.51439237,-7535.13403818641,4864915.59784806,-7530.88747135956,4864934.53326288,-7562.99018145355,4864978.60700865
-7521.8299061726,4864950.57355416,-7526.41426391438,4864944.08320829,-7530.102248831,4864936.60988342,-7582.5577853295,4864993.20400984
-7555.42255038138,4864885.77888166,-7554.29359999963,4864887.5586,-7563.0203547944,4864878.6416721,-7691.80131908476,4864880.01451082
-7497.75571515819,4864852.28419573,-7471.24324320115,4864863.94405356,-7476.62851851288,4864863.70477603,-7484.62924953405,4864875.16703897
-7543.76924617725,4864923.90282825,-7532.2429999277,4864924.46387342,-7534.89510226084,4864930.54031955,-7600.10300213703,4865032.08101259
-7543.96038700257,4864927.21630602,-7533.73222880513,4864928.46890319,-7529.39368128416,4864938.31003097,-7622.26607202229,4865053.74996736
-7516.41362123564,4864937.65039004,-7527.61882651102,4864940.6996519,-7531.41031134606,4864937.03093478,-7595.87453306853,4865047.82740725
-7519.67280378207,4864937.76237899,-7527.52460267028,4864940.71975268,-7534.8731077025,4864932.78823017,-7581.83639153482,4865042.79466917
-7497.42807644004,4864857.61641572,-7471.24324320115,4864863.94405356,-7496.77130799864,4864863.63893711,-7484.62924953405,4864875.16703897
-7498.05807197719,4864856.55098058,-7471.24324320115,4864863.94405356,-7499.77344071979,4864857.05264099,-7484.62924953405,4864857.00902496
-7505.67072260056,4864864.85842014,-7502.84679999948,4864860.1862,-7505.25829494368,4864857.05264099,-7490.90390488537,4864861.85649681
-7506.76269999892,4864850.7019,-7502.84679999948,4864860.1862,-7504.97328590346,4864857.05264099,-7496.87526172859,4864856.89938126
-7511.46810242698,4864852.67851097,-7502.84679999948,4864860.1862,-7505.25829494368,4864857.05264099,-7490.90390488537,4864861.85649681
-7516.44226530518,4864843.72336595,-7502.84679999948,4864860.1862,-7505.25829494368,4864857.05264099,-7490.90390488537,4864861.85649681
-7522.34711532399,4864839.18486463,-7503.86964771426,4864865.18375599,-7564.03264614439,4864853.96922103,-7590.72055850163,4864853.39704138
-7522.96598936723,4864840.13741949,-7505.11726964597,4864863.1567332,-7513.13604616148,4864842.96450436,-7500.48646161061,4864848.43992584
-7521.06350639343,4864845.06408055,-7512.78751111072,4864848.98525556,-7564.13994362701,4864848.04484324,-7558.51427865914,4864856.89938126
-7517.58579999954,4864844.9147,-7512.78402498356,4864864.9895037,-7564.13994362701,4864869.07232116,-7562.12547854116,4864850.46557156
-7511.73669999838,4864841.6472,-7505.19054209987,4864863.03699428,-7509.0209208767,4864812.54319766,-7497.90720382741,4864800.06908687
-7525.81812998652,4864845.29862264,-7504.90894498105,4864863.73600962,-7564.0985327435,4864863.78684117,-7569.26469104784,4864866.59793985
-7526.74751611476,4864845.53644596,-7504.90894498105,4864863.73600962,-7505.00614171314,4864863.78684117,-7500.48646161061,4864866.59793985
-7526.30165780731,4864845.08584904,-7504.95416190169,4864863.58972612,-7505.00614171314,4864863.78684117,-7500.48646161061,4864864.57229412
-7535.159069866,4864937.08760255,-7527.54203570193,4864941.04855117,-7531.41031134606,4864937.03093478,-7595.87453306853,4865047.82740725
-7523.1986086515,4864951.85325627,-7527.54203570193,4864941.04855117,-7535.88234242166,4864930.56151947,-7572.33615342396,4865021.41615444
-7519.36675912061,4864949.73641195,-7529.45027257353,4864938.48320234,-7532.36396847665,4864936.69742589,-7582.00010641059,4865055.09065817
-7519.58592901424,4864949.82454727,-7527.52460267028,4864940.71975268,-7535.88234242166,4864930.56151947,-7572.33615342396,4865021.41615444
-7510.21120582148,4864949.28709577,-7527.12581019698,4864941.6860026,-7527.23234177258,4864941.21867024,-7524.29825360562,4864942.56149114
-7510.21120582148,4864949.28709577,-7526.88467979169,4864942.08319544,-7522.37383593335,4864948.80325533,-7533.96220659224,4864984.79302026
-7528.60806863382,4864959.50525117,-7527.14702045225,4864957.32812227,-7522.37383593335,4864949.15650927,-7549.48125623859,4865052.08147359
-7524.48676248127,4864933.91020315,-7527.52460267028,4864940.71975268,-7534.8731077025,4864932.78823017,-7581.83639153482,4865042.79466917
